,expt,cond,rep,time (h),position (μm),redPixelRange,greenPixelRange,greenX0,redX0,GFP shift (μm),RFP shift (μm),[Ampicillin] (mg/mL),[Kanamycin] (mg/mL)
655,J4K5succ250_ampGrad,3x,3,4,100,97-120,116-139,263.11207039807823,323.00646180448575,11.173012332245008,2.1053083205344483,0.31622776601683794,
656,J4K5succ250_ampGrad,3x,3,4,150,112-135,131-154,270.1204696624775,322.15611225836017,9.140736921405562,1.492220970861467,0.31622776601683794,
657,J4K5succ250_ampGrad,3x,3,4,200,127-150,146-169,272.9744165532294,333.5440876133559,12.225859305176243,3.6390378887183488,0.31622776601683794,
658,J4K5succ250_ampGrad,3x,3,4,250,142-165,161-184,270.0389676835664,324.0925389815431,12.426801842377358,-0.05143612532958741,0.31622776601683794,
659,J4K5succ250_ampGrad,3x,3,4,300,157-180,176-199,267.132298008301,334.126080012023,10.313979870525714,-2.643441019200281,0.31622776601683794,
660,J4K5succ250_ampGrad,3x,3,4,350,172-195,191-214,273.2902022627793,341.11537091850363,11.231128823139501,3.4329210885371713,0.31622776601683794,
661,J4K5succ250_ampGrad,3x,3,4,400,187-210,206-229,274.0877865897019,338.7539090709387,12.401883607728223,2.6471503317598604,0.31622776601683794,
662,J4K5succ250_ampGrad,3x,3,4,450,202-226,221-244,273.46821702595315,331.4090777065078,13.61387242822218,1.0358090748705422,0.31622776601683794,
663,J4K5succ250_ampGrad,3x,3,6,-150,22-45,40-64,281.4841626195055,316.3628475222061,15.064864257095847,8.04057880602727,0.31622776601683794,
664,J4K5succ250_ampGrad,3x,3,6,-100,37-60,56-79,272.89264387529056,312.88168994767483,11.491267975894345,5.555619901680019,0.31622776601683794,
665,J4K5succ250_ampGrad,3x,3,6,-50,52-75,71-94,276.0029484238472,328.2621611924488,13.704631960792938,7.109549860259732,0.31622776601683794,
666,J4K5succ250_ampGrad,3x,3,6,0,67-90,86-109,274.5269767529681,341.7596065735288,20.70671751963792,23.01055238646717,0.31622776601683794,
667,J4K5succ250_ampGrad,3x,3,6,50,82-105,101-124,276.11494934833974,329.39198279314814,19.168077751314517,18.451064078138586,0.31622776601683794,
668,J4K5succ250_ampGrad,3x,3,6,100,97-120,116-139,273.85292190740626,323.4402105379009,21.913863841573033,2.539057053949591,0.31622776601683794,
669,J4K5succ250_ampGrad,3x,3,6,150,112-135,131-154,279.9029881900984,324.9105778745333,18.923255449026502,4.24668658703456,0.31622776601683794,
670,J4K5succ250_ampGrad,3x,3,6,200,127-150,146-169,283.8375276748278,336.0558418271214,23.088970426774665,6.1507921024838765,0.31622776601683794,
671,J4K5succ250_ampGrad,3x,3,6,250,142-165,161-184,279.54876091899763,325.8659258621973,21.93659507780859,1.7219507553245992,0.31622776601683794,
672,J4K5succ250_ampGrad,3x,3,6,300,157-180,176-199,278.46147554725934,336.5567085035692,21.643157409483987,-0.21281252765408,0.31622776601683794,
673,J4K5succ250_ampGrad,3x,3,6,350,172-195,191-214,282.7037251436187,343.1977076186949,20.644651703978926,5.515257788728434,0.31622776601683794,
674,J4K5succ250_ampGrad,3x,3,6,400,187-210,206-229,284.15502234847764,341.4154577111128,22.469119366504003,5.308698971934007,0.31622776601683794,
675,J4K5succ250_ampGrad,3x,3,6,450,202-226,221-244,286.0832292443905,334.02731664466967,26.228884646659537,3.654048013032423,0.31622776601683794,
676,J4K5succ250_ampGrad,3x,3,8,-150,22-45,40-64,287.56941717633947,319.9100619045145,21.150118813929797,11.587793188335636,0.31622776601683794,
677,J4K5succ250_ampGrad,3x,3,8,-100,37-60,56-79,276.38556745975427,314.12572445173066,14.984191560358115,6.799654405735907,0.31622776601683794,
678,J4K5succ250_ampGrad,3x,3,8,-50,52-75,71-94,280.1808150792297,332.2707216799245,17.882498616175386,11.11811034773541,0.31622776601683794,
679,J4K5succ250_ampGrad,3x,3,8,0,67-90,86-109,281.7267139165028,349.61503272777964,27.90645468317265,30.86597854071795,0.31622776601683794,
680,J4K5succ250_ampGrad,3x,3,8,50,82-105,101-124,285.39333092920583,330.95688551837884,28.446459332180552,20.015966803369395,0.31622776601683794,
681,J4K5succ250_ampGrad,3x,3,8,100,97-120,116-139,282.61413443978284,325.94029337804886,30.675076373949622,5.039139894097616,0.31622776601683794,
682,J4K5succ250_ampGrad,3x,3,8,150,112-135,131-154,289.79585375955884,328.82888777535044,28.816121018486854,8.164996487851681,0.31622776601683794,
683,J4K5succ250_ampGrad,3x,3,8,200,127-150,146-169,294.93655346386515,339.48682018185417,34.18799621581195,9.581770457216694,0.31622776601683794,
684,J4K5succ250_ampGrad,3x,3,8,250,142-165,161-184,291.15175331103677,327.61552749683995,33.53958746984779,3.4715523899672576,0.31622776601683794,
685,J4K5succ250_ampGrad,3x,3,8,300,157-180,176-199,291.3409772294544,340.2858180189005,34.52265909167909,3.516296987677208,0.31622776601683794,
